degree mse r2 bias var
0 15006.363478993513 -2396.262258488957 15004.532208215493 1.8312707780206958
1 11040.568288525023 -182898.52722314763 11036.65749075024 3.910797774781379
2 8873.79620391589 -160487.18710032746 8865.83313499698 7.963068918912548
3 7731.054238020574 -128283.99190941745 7713.413273860377 17.640964160198568
4 7763.738613428202 -138405.35959864053 7746.219178073066 17.519435355135304
5 7763.893813236248 -131719.81049476477 7747.757594029694 16.136219206554706
6 7760.841786715854 -118297.1066378212 7747.990128811772 12.851657904082526
7 7785.230496038027 -107248.36427510658 7772.072647371101 13.157848666926052
8 7782.501651689719 -98496.62557208314 7770.21655687134 12.285094818380298
9 7758.151003468683 -93357.76320336474 7744.587532101939 13.563471366742485
10 7767.231051263583 -91569.33478348317 7752.132921053271 15.098130210312489
11 7759.9026769288575 -92431.7129654241 7745.692130959281 14.21054596957657
12 7756.728080284015 -94195.89182956268 7742.698551092812 14.029529191203588
13 7786.387562780136 -95957.85295233678 7773.128591317057 13.258971463080105
14 7788.237986744934 -97277.25588855872 7774.382558656024 13.8554280889086
15 7777.80865305952 -97463.82595002033 7764.4237481947675 13.384904864752347
