degree mse r2 bias var
0 15200.716247831077 -1202.671069154517 15198.800332283869 1.9159155472078664
1 10124.437366019138 -568834.5965030064 10120.085778429368 4.351587589771934
2 8301.88968731936 -320707.8478949918 8294.197158251032 7.692529068326557
3 6209.3228391289285 -267563.7329922409 6199.9835847012555 9.339254427672357
4 5075.092392905009 -210811.2390493053 5065.69212576149 9.400267143519473
5 4886.671363911834 -208460.27046637936 4876.731529297844 9.939834613991259
6 4579.15288316552 -187801.76798095356 4569.365452066245 9.787431099274224
7 4342.2236520225715 -179336.09648790088 4332.454038670162 9.769613352409577
8 4235.955096175168 -195506.04521168696 4225.42631447599 10.528781699179673
9 4203.887718169478 -216414.8861007851 4192.697090734121 11.190627435357367
10 4180.119990861994 -226994.03694991764 4169.454506786835 10.665484075158528
11 4136.5001575189 -224812.70619631783 4124.795438755264 11.704718763635691
12 4069.6452739258634 -216380.93779920458 4057.7563524207785 11.888921505085122
13 3991.408855043933 -209551.13525035523 3979.5842516713997 11.824603372533073
14 3918.201542602157 -208417.76498249348 3905.9207270583643 12.280815543792377
15 3854.042125888616 -216309.7373044902 3842.274490479844 11.767635408771975
