degree mse r2 bias var
0 15226.712800801994 -286.17362798822063 15224.879998185072 1.8328026169242575
1 10551.80850642786 -49900.7726530234 10547.681714992668 4.126791435193165
2 8833.748258020769 -44095.97961394465 8826.537965145239 7.210292875530473
3 6518.292217862144 -59834.54637952722 6509.561899790271 8.730318071873636
4 5016.647916285691 -44376.130203968285 5006.5870763996045 10.060839886086878
5 4188.411687149084 -39592.93668968788 4176.195116207384 12.216570941700544
6 3733.3354642179997 -34553.6137003229 3718.5204711053684 14.814993112630937
7 3524.2428208733036 -28767.81637355587 3507.3505435823745 16.892277290928757
8 3398.69499208552 -23817.335546317507 3381.7988955067863 16.896096578733005
9 3354.016673265222 -21838.80411661297 3336.717307194077 17.299366071145993
10 3306.2382209497387 -21189.842198217415 3288.372224872812 17.86599607692618
11 3269.550026360309 -20807.15771111291 3250.892033846268 18.657992514040316
12 3252.255642953963 -20733.38417766183 3232.377438178046 19.87820477591767
13 3233.1785887330507 -20711.4809512293 3212.7979059462573 20.380682786793244
14 3204.8196111853904 -20659.06501750702 3184.3210272524743 20.498583932916517
15 3165.804927831084 -20601.16518385474 3145.7693089892955 20.035618841788285
