degree mse r2 bias var
0 15104.383549604667 -35589.978731046074 15102.708591277984 1.6749583266809756
1 10567.584254189693 -8472302.201900827 10563.770696879701 3.813557309991312
2 8647.277943142142 -3834731.2839096584 8639.272174497484 8.005768644656818
3 6357.654238155138 -4747459.685166873 6348.374855086923 9.279383068214798
4 5113.223114597789 -4150255.9794147224 5102.631725775155 10.59138882263414
5 4242.117360229531 -4731114.352494789 4230.0895797054445 12.027780524086493
6 3726.7845759749057 -6540187.213451501 3711.340321270033 15.444254704872359
7 3476.2402832921616 -5956630.0710675055 3456.8520445511645 19.388238740996503
8 3408.932804473283 -6261828.589322917 3390.951722845944 17.98108162733815
9 3306.303332233033 -5444183.947986871 3286.994724159205 19.308608073828424
10 3213.5048162198286 -4654466.216092151 3193.612461271783 19.892354948045337
11 3174.5008548912983 -4459635.854240281 3153.843320385555 20.657534505743048
12 3133.8445398273457 -4345704.973296445 3112.402455704914 21.442084122432004
13 3067.007136891359 -4118770.9686788027 3044.6261390659847 22.38099782537428
14 2970.514217738324 -3817952.905534495 2950.1310167827055 20.38320095561851
15 2879.656869053817 -3632226.6644638865 2858.681894518268 20.97497453554928
16 2809.0784306935784 -3530660.0881099426 2788.1887723581553 20.889658335422986
17 2770.334803629932 -3538849.339934154 2748.836159888197 21.49864374173586
18 2749.2789223752175 -3527176.531521961 2727.607965767436 21.67095660778159
19 2734.2607891771636 -3484816.993831346 2713.2040821966357 21.05670698052848
20 2715.3624902235338 -3338949.991114982 2693.2057898152643 22.156700408269387
