n = 50, error = 0.2 degree in [0,20)
------------------------------------
degree |  mse  | bias  | var
     1 | 0.222 | 0.276 | 0.054
     2 | 0.215 | 0.276 | 0.062
     3 | 0.206 | 0.276 | 0.071
     4 | 0.204 | 0.276 | 0.075
     5 | 0.202 | 0.276 | 0.078
     6 | 0.201 | 0.276 | 0.079
     7 | 0.201 | 0.276 | 0.081
     8 | 0.201 | 0.276 | 0.083
     9 | 0.202 | 0.276 | 0.084
    10 | 0.203 | 0.276 | 0.085
    11 | 0.205 | 0.276 | 0.087
    12 | 0.206 | 0.276 | 0.089
    13 | 0.206 | 0.276 | 0.090
    14 | 0.208 | 0.276 | 0.091
    15 | 0.211 | 0.276 | 0.093
    16 | 0.215 | 0.276 | 0.095
    17 | 0.223 | 0.276 | 0.102
    18 | 0.237 | 0.276 | 0.112
    19 | 0.235 | 0.276 | 0.111
